[2024-11-10 22:30:15,723    DEBUG] Starting new HTTPS connection (1): quotes.toscrape.com:443
[2024-11-10 22:30:16,196    DEBUG] https://quotes.toscrape.com:443 "GET /page/1 HTTP/11" 308 255
[2024-11-10 22:30:16,197    DEBUG] Starting new HTTP connection (1): quotes.toscrape.com:80
[2024-11-10 22:30:16,569    DEBUG] http://quotes.toscrape.com:80 "GET /page/1/ HTTP/11" 200 11064
[2024-11-10 22:30:16,599    DEBUG] Starting new HTTPS connection (1): quotes.toscrape.com:443
[2024-11-10 22:30:17,102    DEBUG] https://quotes.toscrape.com:443 "GET /page/2 HTTP/11" 308 255
[2024-11-10 22:30:17,103    DEBUG] Starting new HTTP connection (1): quotes.toscrape.com:80
[2024-11-10 22:30:17,403    DEBUG] http://quotes.toscrape.com:80 "GET /page/2/ HTTP/11" 200 13745
[2024-11-10 22:30:17,556    DEBUG] Starting new HTTPS connection (1): quotes.toscrape.com:443
[2024-11-10 22:30:18,056    DEBUG] https://quotes.toscrape.com:443 "GET /page/3 HTTP/11" 308 255
[2024-11-10 22:30:18,057    DEBUG] Starting new HTTP connection (1): quotes.toscrape.com:80
[2024-11-10 22:30:18,395    DEBUG] http://quotes.toscrape.com:80 "GET /page/3/ HTTP/11" 200 10029
[2024-11-10 22:30:18,406    DEBUG] Starting new HTTPS connection (1): quotes.toscrape.com:443
[2024-11-10 22:30:18,921    DEBUG] https://quotes.toscrape.com:443 "GET /page/4 HTTP/11" 308 255
[2024-11-10 22:30:18,923    DEBUG] Starting new HTTP connection (1): quotes.toscrape.com:80
[2024-11-10 22:30:19,243    DEBUG] http://quotes.toscrape.com:80 "GET /page/4/ HTTP/11" 200 10325
[2024-11-10 22:30:19,256    DEBUG] Starting new HTTPS connection (1): quotes.toscrape.com:443
[2024-11-10 22:30:19,760    DEBUG] https://quotes.toscrape.com:443 "GET /page/5 HTTP/11" 308 255
[2024-11-10 22:30:19,762    DEBUG] Starting new HTTP connection (1): quotes.toscrape.com:80
[2024-11-10 22:30:20,052    DEBUG] http://quotes.toscrape.com:80 "GET /page/5/ HTTP/11" 200 10012
[2024-11-10 22:30:20,063    DEBUG] Starting new HTTPS connection (1): quotes.toscrape.com:443
[2024-11-10 22:30:20,610    DEBUG] https://quotes.toscrape.com:443 "GET /page/6 HTTP/11" 308 255
[2024-11-10 22:30:20,611    DEBUG] Starting new HTTP connection (1): quotes.toscrape.com:80
[2024-11-10 22:30:20,925    DEBUG] http://quotes.toscrape.com:80 "GET /page/6/ HTTP/11" 200 10416
[2024-11-10 22:30:20,936    DEBUG] Starting new HTTPS connection (1): quotes.toscrape.com:443
[2024-11-10 22:30:21,416    DEBUG] https://quotes.toscrape.com:443 "GET /page/7 HTTP/11" 308 255
[2024-11-10 22:30:21,417    DEBUG] Starting new HTTP connection (1): quotes.toscrape.com:80
[2024-11-10 22:30:21,718    DEBUG] http://quotes.toscrape.com:80 "GET /page/7/ HTTP/11" 200 10722
[2024-11-10 22:30:21,725    DEBUG] Starting new HTTPS connection (1): quotes.toscrape.com:443
[2024-11-10 22:30:22,182    DEBUG] https://quotes.toscrape.com:443 "GET /page/8 HTTP/11" 308 255
[2024-11-10 22:30:22,183    DEBUG] Starting new HTTP connection (1): quotes.toscrape.com:80
[2024-11-10 22:30:22,503    DEBUG] http://quotes.toscrape.com:80 "GET /page/8/ HTTP/11" 200 11393
[2024-11-10 22:30:22,521    DEBUG] Starting new HTTPS connection (1): quotes.toscrape.com:443
[2024-11-10 22:30:23,002    DEBUG] https://quotes.toscrape.com:443 "GET /page/9 HTTP/11" 308 255
[2024-11-10 22:30:23,003    DEBUG] Starting new HTTP connection (1): quotes.toscrape.com:80
[2024-11-10 22:30:23,296    DEBUG] http://quotes.toscrape.com:80 "GET /page/9/ HTTP/11" 200 11022
[2024-11-10 22:30:23,306    DEBUG] Starting new HTTPS connection (1): quotes.toscrape.com:443
